Page,Title
Page 16,"FRI 2022, Nadiem Makarim: Transformasi Perguruan Tinggi Dukung Indonesia Emas 2045"
Page 16,UNAIR Terima Penambahan Bus Operasional Kampus dari Bank BRI
Page 16,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric"
Page 16,Waspadai Gangguan Ginjal Akut pada Anak
Page 16,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022
Page 16,"Kupas Novel Aib dan Nasib, Dosen UNAIR Sampaikan Empat Hal Penting"
Page 16,Pakar Toksikologi UNAIR Beberkan Sifat Dasar dan Efek Senyawa Kimia Gas Air Mata
Page 17,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
Page 17,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
Page 17,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
Page 17,UNAIR Posisi Kedua di Indonesia Versi THE WUR
Page 17,UNAIR Siap Jadi Tuan Rumah Forum Rektor Indonesia 2022
Page 17,"Sukses Bongkar Kasus Pemalsuan Website, Dua Mahasiswa Sekolah Pascasarjana UNAIR Jadi Pembicara di FBI Amerika Serikat"
Page 17,"Peduli Diabetes, Mahasiswa FIB UNAIR Raih Juara 3 di  LPII FEB Universitas Riau"
Page 17,"Kenalkan Budaya Lokal, Mahasiswa UNAIR Raih Juara 3 Esai Nasional"
Page 17,Pakar UNAIR Beri Analisis Pembatasan Pembelian dan Keluhan Pertalite Boros
Page 17,Mahasiswa UNAIR Sabet Juara 1 dalam Essay Competition IDTC 2022
Page 17,"Kuliah Tamu FH UNAIR, Prof Michael Bohne Paparkan Urgensi Perlindungan Data di Bidang Hukum Dagang"
Page 17,"Angkat Isu Kesehatan Mental Anak, Mahasiswa UNAIR Raih Predikat Best Paper Nasional"
Page 18,Dosen FK UNAIR Sebut Hydrogen Fontaine Belum Diketahui Memiliki Standar Medis
Page 18,Pakaian dan Aksesori Gelap Sebabkan Kelainan Kulit: Mitos Atau Fakta?
Page 18,Dosen Battra Imbau Pentingnya Tanaman Toga untuk Kesehatan
Page 18,Duta Besar Pakistan Jajaki Kerja Sama Pendidikan dengan UNAIR
Page 18,"Ikuti Student Exchange, Mahasiswa UNAIR Pelajari Budaya Disiplin Ala Negeri Ginseng"
Page 18,Presiden Jokowi Beri Nama Inavac untuk Vaksin Covid-19 Buatan UNAIR
Page 18,"Dukung Akselerasi Talenta Digital, Bisnis Mahasiswa UNAIR Raih Pendanaan dari Kemdikbud"
Page 18,Mahasiswa UNAIR Kibarkan Bendera Merah Putih di Pusat Pemerintahan Malaysia
Page 18,UNAIR Miliki Sejumlah Strategi Cegah Suap Seleksi Penerimaan Mahasiswa Baru
Page 18,"Kukuhkan Guru Besar, Rektor UNAIR Tekankan Pentingnya Moral"
Page 18,Mahasiswa UNAIR Sabet Juara 1 Kontes Gizi Nasional
Page 18,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan
Page 19,Rektor Imbau Mahasiswa untuk Saling Mengenal dan Kolaborasi Keilmuwan
Page 19,Mahasiswa UNAIR Temukan Inovasi Deodorant Spray Alami Ekstrak Bintang Laut
Page 19,UNAIR Luluskan 451 Mahasiswa pada Wisuda Agustus 2022
Page 19,Satu Keluarga Alumni Ilmu Hukum UNAIR Raih Rekor Muri
Page 19,"Atlet Wushu UNAIR, Alisya Mellynar Raih Emas dan Perunggu di Ajang ASEAN University Games 2022"
Page 19,Mahasiswa UNAIR Raih Juara 2 Lomba Paper and Conference IESS 2022
Page 19,Rektor: Orasi Guru Besar Jadi Bukti Inklusivitas Ilmu di UNAIR
Page 19,10 Prodi di UNAIR Resmi Dapatkan Akreditasi FIBAA
Page 19,Tim SIKIA UNAIR Banyuwangi Evakuasi dan Identifikasi Paus Terdampar di Banyuwangi
